age,gender,income,credit_score,debt_ratio,employment_years,region,approved
48,Male,69095.18,559,0.22,17,West,1
27,Female,80317.57,672,0.27,0,East,1
55,Female,32682.26,394,0.33,17,West,0
48,Female,70992.95,424,0.64,25,Central,0
34,Male,83648.7,340,0.15,29,South,1
30,Male,56697.99,553,0.26,7,North,0
36,Male,79014.01,306,0.49,10,West,0
36,Female,121293.09,770,0.63,23,West,1
51,Female,62913.14,810,0.14,23,East,1
62,Female,72866.14,368,0.19,14,Central,0
45,Male,50238.86,380,0.19,15,East,0
33,Female,68625.02,841,0.06,16,East,1
26,Female,74205.43,561,0.41,16,Central,1
64,Male,68896.85,388,0.45,11,North,0
29,Male,44606.09,507,0.41,9,East,0
56,Male,69127.24,512,0.09,19,East,0
63,Male,94243.92,565,0.09,5,West,0
40,Female,73972.72,592,0.18,7,Central,1
38,Male,84239.74,506,0.22,12,South,1
63,Male,60259.76,632,0.52,1,North,0
41,Female,79998.0,376,0.15,28,North,1
24,Male,70585.36,587,0.08,18,Central,1
53,Male,45981.79,346,0.29,21,West,0
47,Male,71370.42,499,0.3,9,West,0
27,Male,45166.07,726,0.32,3,Central,0
26,Female,52342.39,509,0.55,11,West,0
35,Male,68786.57,719,0.11,17,North,1
38,Female,70944.89,453,0.47,6,North,0
52,Female,41215.35,821,0.25,19,South,1
31,Male,86079.72,714,0.24,23,Central,1
40,Female,76440.13,652,0.61,23,East,1
44,Male,50905.43,456,0.2,22,East,1
35,Male,34248.3,560,0.44,25,South,0
27,Female,62101.91,376,0.22,24,South,1
41,Female,56081.13,787,0.35,3,West,1
62,Female,67262.81,430,0.52,6,South,0
46,Male,57737.67,754,0.58,9,South,1
64,Male,24850.86,462,0.55,25,East,0
34,Female,57233.06,314,0.4,14,West,0
57,Male,58887.62,531,0.2,11,South,0
41,Male,77673.22,494,0.45,0,South,0
38,Male,51036.01,841,0.48,19,West,1
25,Male,98573.49,658,0.06,17,Central,1
23,Female,26767.19,630,0.31,24,West,1
43,Male,91223.35,726,0.56,15,East,1
46,Female,60513.62,796,0.34,4,Central,1
57,Male,82191.7,785,0.24,18,North,1
44,Female,66596.03,748,0.57,3,West,0
39,Female,87791.11,712,0.14,5,East,1
45,Male,57252.76,629,0.17,25,Central,1
41,Female,43027.59,446,0.46,16,West,0
32,Female,93410.09,558,0.26,6,South,1
61,Female,62730.39,591,0.48,23,West,0
53,Female,69431.17,442,0.14,22,North,0
24,Female,89695.04,664,0.2,6,West,1
62,Female,44360.9,389,0.14,8,Central,0
27,Male,76909.82,463,0.62,12,Central,0
42,Male,53202.1,780,0.29,19,West,1
53,Male,62356.61,383,0.25,13,Central,0
37,Male,66445.58,376,0.06,15,South,0
44,Male,34995.56,816,0.14,22,West,1
