age,gender,income,credit_score,debt_ratio,employment_years,region,approved
46,Female,53768.39,634.0,0.77,2.7,North,0
61,Female,60605.6,476.0,0.372,6.3,East,0
42,Female,55192.96,727.0,0.386,4.2,South,1
54,Male,71350.57,682.0,0.451,15.3,East,1
50,Female,61089.31,625.0,0.6,7.4,South,0
48,Female,53340.11,671.0,0.255,7.4,East,1
31,Male,41282.75,726.0,0.616,4.6,North,0
35,Female,57550.57,652.0,0.802,9.0,East,0
28,Male,72821.29,642.0,0.305,6.6,North,1
33,Male,83820.42,706.0,0.376,0.6,South,1
55,Male,86279.08,655.0,0.426,9.8,South,1
35,Male,30000.0,687.0,0.481,9.8,North,0
50,Male,85169.41,579.0,0.246,9.6,North,1
32,Male,88069.87,750.0,0.393,0.9,North,1
36,Male,31136.8,677.0,0.651,7.4,South,0
48,Male,79917.47,582.0,0.453,6.8,North,1
61,Female,40598.28,804.0,0.524,1.4,South,1
27,Male,30911.99,706.0,0.498,7.7,South,0
40,Female,63093.53,560.0,0.443,9.0,South,0
34,Male,42372.68,505.0,0.431,6.7,North,0
42,Male,42025.39,586.0,0.553,5.2,North,0
36,Male,102196.54,634.0,0.1,0.0,South,1
53,Female,36133.41,718.0,0.341,3.9,South,1
47,Female,90071.0,628.0,0.638,9.2,South,0
49,Female,61186.99,716.0,0.457,0.1,South,0
25,Male,30000.0,663.0,0.558,8.2,North,0
44,Male,77707.63,553.0,0.218,10.7,South,1
46,Male,44710.78,732.0,0.651,16.4,East,0
38,Male,37689.63,592.0,0.558,4.0,North,0
31,Female,86074.98,654.0,0.399,10.2,South,1
31,Female,48994.54,718.0,0.284,13.5,South,1
51,Female,78834.37,582.0,0.335,11.5,North,1
29,Male,63544.03,626.0,0.242,11.0,North,1
64,Female,84701.6,580.0,0.62,17.3,South,0
29,Female,75687.73,616.0,0.299,13.8,East,1
54,Female,59033.38,566.0,0.314,16.3,South,1
38,Male,55209.67,695.0,0.732,12.8,South,0
33,Male,37016.45,628.0,0.286,12.2,North,1
44,Male,52681.47,560.0,0.7,18.7,East,0
42,Female,81357.16,795.0,0.643,11.5,North,1
49,Male,74163.77,639.0,0.371,13.7,South,1
33,Female,109756.99,611.0,0.372,12.0,East,1
56,Male,70750.58,562.0,0.386,7.6,South,1
22,Male,69159.79,677.0,0.33,0.0,North,1
25,Male,56555.71,572.0,0.483,17.4,South,1
49,Male,51187.59,497.0,0.217,10.5,East,1
43,Male,102494.18,649.0,0.505,1.9,East,1
55,Male,34462.22,615.0,0.309,0.0,North,1
36,Female,43957.4,534.0,0.412,11.7,South,0
31,Male,71485.53,665.0,0.376,1.0,North,1
58,Female,69219.33,643.0,0.363,7.5,South,1
56,Male,36746.4,644.0,0.43,8.0,South,1
40,Male,86867.49,671.0,0.1,8.9,North,1
50,Female,68431.88,651.0,0.592,7.9,South,0
46,Female,45207.84,535.0,0.376,13.2,North,0
24,Female,63640.04,743.0,0.441,6.6,East,1
48,Male,67131.24,633.0,0.315,11.3,East,1
39,Male,73628.18,689.0,0.254,10.5,North,1
55,Male,57424.24,664.0,0.268,11.8,South,1
34,Male,51384.46,703.0,0.434,8.1,South,1
24,Female,79743.46,723.0,0.372,0.0,South,1
53,Male,65439.88,667.0,0.428,12.7,North,1
48,Male,44026.64,656.0,0.391,8.9,North,1
27,Male,89697.01,636.0,0.405,4.2,North,1
63,Female,85590.86,634.0,0.618,8.7,South,0
55,Female,68490.01,802.0,0.219,11.0,South,1
62,Male,52322.91,647.0,0.38,0.0,East,0
50,Male,63881.73,653.0,0.532,3.3,North,0
57,Female,41594.61,646.0,0.458,7.4,East,0
33,Female,103143.91,651.0,0.481,13.0,North,1
38,Male,69648.51,789.0,0.428,11.9,North,1
43,Female,64396.11,647.0,0.431,9.5,South,0
42,Female,41778.9,596.0,0.507,9.2,East,0
43,Female,53494.28,801.0,0.342,5.1,East,1
45,Male,51926.84,634.0,0.532,2.6,South,0
34,Male,66279.01,658.0,0.543,12.3,East,1
64,Female,66448.3,646.0,0.327,0.0,South,1
36,Male,68057.79,707.0,0.499,5.1,North,1
57,Male,42916.38,713.0,0.484,6.7,South,0
28,Female,72433.53,714.0,0.614,0.5,South,0
55,Female,86125.11,835.0,0.1,0.0,South,1
45,Female,85373.82,671.0,0.145,12.1,South,1
27,Male,34095.1,688.0,0.286,0.0,North,0
54,Female,120637.44,584.0,0.1,0.4,South,1
31,Female,103171.96,661.0,0.282,0.4,North,1
31,Male,30000.0,602.0,0.282,1.6,East,0
59,Male,98520.06,562.0,0.38,9.0,North,0
36,Female,39712.1,701.0,0.31,0.0,South,0
49,Female,103672.26,628.0,0.423,4.5,South,1
25,Male,61344.77,585.0,0.333,5.9,South,1
25,Male,47944.05,673.0,0.418,16.2,South,1
42,Male,82382.34,728.0,0.187,4.9,North,1
25,Male,33295.26,561.0,0.667,4.0,North,0
54,Female,58507.34,763.0,0.491,11.9,North,1
38,Female,69646.0,530.0,0.669,4.7,South,0
54,Female,96913.87,534.0,0.466,8.0,South,0
23,Female,30000.0,664.0,0.486,24.9,South,1
43,Male,46081.21,610.0,0.549,4.8,North,0
