age,gender,income,credit_score,debt_ratio,employment_years,region,approved
49,Female,47259.9,438,0.48000000000000004,24,North,1
26,Female,31881.64,617,0.26,18,West,1
38,Male,56390.54,527,0.47000000000000003,2,Central,0
48,Female,54741.27,630,0.6799999999999999,22,East,1
52,Male,38252.72,795,0.43000000000000005,20,East,1
41,Female,26843.2,465,0.48000000000000004,4,South,0
50,Female,57792.85,623,0.56,22,Central,1
35,Male,61982.71,747,0.8400000000000001,24,South,1
47,Male,61732.52,446,0.8200000000000001,24,Central,0
22,Male,47581.03,418,0.8400000000000001,15,East,0
43,Male,63185.2,396,0.48000000000000004,9,Central,0
35,Male,34366.51,743,0.6000000000000001,24,North,1
46,Female,35604.38,742,0.8200000000000001,5,South,0
51,Female,44750.91,602,0.48000000000000004,25,North,1
24,Male,49637.29,795,0.66,29,West,1
28,Male,39928.79,779,0.5800000000000001,27,East,1
46,Male,51144.06,324,0.33,5,West,0
59,Female,44815.71,447,0.26,23,East,0
48,Male,34711.88,461,0.69,14,West,0
46,Male,51474.32,821,0.63,14,Central,1
47,Male,53896.3,789,0.36,29,Central,1
43,Male,58962.32,461,0.35,20,Central,1
64,Female,38985.99,353,0.53,10,West,0
63,Female,48659.74,691,0.71,9,Central,0
30,Male,45138.7,486,0.72,11,Central,0
35,Female,23925.46,363,0.38,16,East,0
37,Male,64166.05,772,0.71,7,West,1
59,Female,66453.66,575,0.32,26,West,1
45,Male,33444.24,402,0.72,0,West,0
21,Male,41171.12,712,0.75,17,West,1
30,Male,60971.44,735,0.34,4,Central,1
50,Female,39210.46,488,0.38,18,West,0
31,Female,48995.9,782,0.46,28,West,1
63,Male,46861.6,375,0.45,25,South,0
36,Male,60473.17,645,0.44,14,Central,1
41,Female,45491.06,350,0.4,21,West,0
44,Male,58750.18,498,0.81,18,North,0
26,Male,58463.07,775,0.8200000000000001,9,West,1
58,Male,66750.33,681,0.52,7,Central,0
24,Male,44742.34,840,0.73,20,West,1
53,Female,68441.08,750,0.52,4,West,1
63,Male,52012.17,541,0.26,10,North,0
50,Male,58472.0,543,0.76,6,South,0
43,Male,56289.76,310,0.6000000000000001,1,Central,0
63,Female,59432.45,424,0.55,14,Central,0
32,Male,58187.77,594,0.30000000000000004,29,East,1
31,Female,28360.81,843,0.71,21,South,1
46,Female,53393.52,814,0.39,11,North,1
27,Male,28192.3,594,0.32,19,South,1
52,Male,49222.99,319,0.81,28,South,0
25,Female,59560.03,401,0.29000000000000004,15,West,1
50,Male,49228.73,371,0.51,25,West,0
59,Female,61017.24,848,0.51,12,Central,1
25,Male,77513.49,389,0.5700000000000001,4,South,0
21,Male,69454.95,419,0.64,27,North,1
32,Male,55795.79,651,0.54,11,North,1
53,Female,78033.7,779,0.7,26,Central,1
24,Male,33811.84,396,0.62,20,Central,0
34,Male,63345.6,495,0.26,28,South,1
31,Male,55782.48,607,0.5800000000000001,3,South,0
38,Male,49272.51,427,0.49,29,West,1
47,Male,44113.38,815,0.7,25,Central,1
52,Male,45079.3,579,0.72,10,South,0
30,Male,56223.41,309,0.44,1,Central,0
25,Female,36443.03,382,0.61,18,Central,0
38,Female,53150.13,598,0.8500000000000001,13,West,0
50,Female,28314.14,525,0.5900000000000001,20,North,0
45,Male,53905.39,830,0.81,15,Central,1
56,Female,46794.79,588,0.7,3,East,0
61,Female,57029.27,732,0.77,26,East,1
24,Female,30117.82,579,0.36,0,Central,0
46,Male,35215.3,565,0.8300000000000001,17,West,0
35,Female,71715.52,824,0.6799999999999999,29,East,1
22,Female,55411.15,636,0.54,14,North,1
22,Male,54183.0,375,0.56,23,East,0
57,Female,53270.33,450,0.74,3,East,0
31,Female,34533.52,585,0.4,28,West,1
38,Male,46121.44,774,0.8300000000000001,26,South,1
40,Male,50025.32,459,0.7,28,East,1
