age,gender,income,credit_score,debt_ratio,employment_years,region,approved
43,Male,92421.3,617,0.38,10,East,1
43,Female,89270.3,777,0.64,17,East,1
22,Female,66743.13,704,0.55,13,South,1
48,Female,77584.4,665,0.37,1,West,1
41,Female,91476.78,526,0.47,23,South,1
28,Male,37234.42,662,0.07,23,Central,1
36,Female,60943.75,569,0.58,27,East,1
55,Female,107691.46,316,0.19,10,West,0
46,Female,77053.32,560,0.46,25,South,1
29,Female,96337.84,365,0.11,5,East,0
25,Male,45922.85,529,0.42,23,North,0
39,Female,57358.29,770,0.05,19,West,1
44,Male,82877.69,676,0.25,21,North,1
47,Male,47238.47,365,0.59,6,West,0
47,Female,45060.9,457,0.4,13,West,0
62,Male,33232.83,567,0.21,15,East,0
22,Female,67229.03,529,0.08,11,Central,1
26,Male,72460.41,499,0.15,20,East,1
22,Female,69510.08,480,0.42,20,East,1
23,Female,83847.7,326,0.15,26,North,1
40,Female,52340.19,331,0.45,25,Central,0
41,Female,65140.97,677,0.11,4,East,1
64,Female,96928.24,837,0.63,20,Central,1
48,Male,59702.0,689,0.49,25,North,1
27,Female,45988.71,354,0.63,19,South,0
36,Female,91361.26,631,0.13,6,South,1
63,Female,73563.91,629,0.39,1,South,0
63,Female,94119.6,604,0.54,25,North,1
22,Male,65681.16,455,0.39,26,Central,1
33,Female,36766.87,300,0.24,6,South,0
54,Male,73261.07,312,0.48,15,West,0
47,Male,104996.16,502,0.4,5,East,1
64,Male,89031.32,785,0.38,16,Central,1
45,Female,54627.72,828,0.34,15,North,1
64,Male,86282.84,415,0.31,2,West,0
39,Male,58044.42,568,0.39,2,East,0
40,Male,71791.6,786,0.24,7,North,1
60,Female,88101.69,629,0.53,23,South,1
56,Female,73988.1,830,0.39,19,East,1
46,Female,73539.95,662,0.35,15,North,1
48,Female,59704.31,544,0.25,20,Central,1
35,Female,71910.26,633,0.27,16,East,1
28,Female,66778.48,708,0.51,1,North,0
60,Male,81226.89,555,0.27,9,South,0
49,Male,85101.57,616,0.36,24,South,1
21,Male,18000.0,313,0.49,18,South,0
51,Female,43930.04,828,0.45,14,East,0
31,Female,64088.14,406,0.46,18,East,0
59,Female,22047.2,384,0.3,5,East,0
30,Female,64382.81,339,0.22,26,North,1
42,Male,61593.1,756,0.63,12,East,1
38,Male,76867.52,646,0.52,28,Central,1
57,Female,40210.71,798,0.1,23,South,1
63,Female,55305.71,828,0.12,21,West,1
30,Female,57495.24,842,0.39,6,South,1
62,Female,41319.53,315,0.48,20,East,0
23,Female,88157.46,828,0.57,8,North,1
22,Female,84925.39,618,0.22,1,East,1
63,Male,59392.81,781,0.32,15,Central,1
45,Female,54194.99,759,0.27,24,Central,1
57,Female,26723.25,492,0.23,28,West,0
47,Male,69077.0,842,0.47,0,Central,1
29,Female,43986.72,350,0.43,17,South,0
27,Male,18000.0,835,0.12,22,North,1
63,Female,62194.16,527,0.51,29,South,0
64,Female,58457.3,481,0.15,21,East,0
32,Male,60161.31,841,0.07,27,East,1
39,Male,102323.4,533,0.17,12,North,1
27,Female,45932.75,357,0.13,11,West,0
54,Female,26077.12,803,0.2,29,South,1
40,Male,54872.51,555,0.45,2,South,0
62,Male,67539.15,836,0.28,14,West,1
35,Male,60876.17,795,0.3,26,North,1
50,Female,71381.01,450,0.63,4,Central,0
57,Female,81805.48,399,0.12,3,South,0
30,Female,67199.03,372,0.32,5,West,0
23,Male,67703.68,498,0.42,8,Central,0
63,Male,65753.7,745,0.46,25,South,1
25,Female,73208.92,734,0.56,29,East,1
49,Female,81484.57,778,0.45,3,East,1
59,Female,62687.1,605,0.41,16,Central,0
48,Female,81986.42,806,0.4,1,East,1
21,Male,84122.28,493,0.28,27,South,1
52,Female,71085.56,302,0.09,14,West,0
24,Female,83847.48,364,0.16,7,West,0
42,Male,63099.51,606,0.05,25,South,1
51,Male,85798.91,692,0.2,9,Central,1
23,Male,74498.46,424,0.17,12,East,0
46,Male,63681.46,540,0.55,4,North,0
33,Male,81030.21,474,0.11,25,North,1
61,Female,62431.48,833,0.56,18,North,1
28,Male,99970.85,650,0.39,15,West,1
64,Male,40011.13,349,0.15,5,North,0
43,Female,90225.52,579,0.42,2,South,0
28,Female,73942.47,535,0.24,19,East,1
55,Male,67761.16,378,0.31,7,East,0
41,Male,73468.53,475,0.11,5,East,0
61,Male,34143.59,754,0.3,26,North,1
64,Male,41527.9,555,0.31,2,Central,0
50,Female,51304.39,599,0.32,21,West,0
26,Female,60010.39,608,0.61,6,South,0
60,Female,96886.48,382,0.09,24,East,1
56,Male,40404.74,357,0.25,13,South,0
46,Male,51487.82,773,0.56,16,West,1
39,Female,94129.15,828,0.07,14,South,1
52,Female,40496.35,372,0.31,19,East,0
26,Male,50747.66,352,0.21,2,North,0
27,Male,59914.52,373,0.61,13,South,0
59,Male,55581.55,304,0.12,0,East,0
52,Female,80316.5,817,0.55,11,South,1
28,Female,29298.64,445,0.2,10,South,0
22,Female,18000.0,608,0.19,2,North,0
50,Female,72977.98,341,0.06,12,South,0
47,Female,58370.56,631,0.41,19,East,1
52,Female,74771.22,498,0.13,6,West,0
22,Female,66618.98,727,0.63,1,East,0
56,Male,70223.95,436,0.16,3,South,0
26,Female,80581.84,401,0.39,12,West,0
43,Female,82935.71,691,0.11,2,West,1
54,Female,59361.07,325,0.07,4,West,0
30,Male,62246.8,838,0.08,10,East,1
63,Female,38734.86,457,0.64,25,Central,0
50,Female,101080.09,571,0.33,9,South,0
47,Male,60931.52,438,0.43,8,East,0
54,Male,69310.83,372,0.64,11,North,0
58,Male,62603.26,572,0.22,10,East,0
55,Female,42138.27,668,0.18,18,West,0
59,Male,96644.66,529,0.19,22,Central,1
38,Female,81682.99,714,0.18,27,South,1
39,Female,65442.48,575,0.57,8,South,0
48,Female,64784.33,442,0.21,9,West,0
36,Female,64986.54,774,0.08,7,Central,1
59,Male,53566.21,710,0.62,8,East,0
40,Male,96731.79,742,0.59,26,Central,1
46,Male,55473.51,808,0.5,0,North,1
25,Female,76923.46,535,0.3,10,South,1
23,Female,54095.24,499,0.43,23,North,0
26,Female,70529.32,754,0.09,3,Central,1
59,Male,75640.76,740,0.35,21,East,1
64,Female,55819.63,324,0.43,6,North,0
44,Female,70078.85,842,0.06,21,South,1
51,Female,62548.19,673,0.48,23,Central,0
30,Female,48236.96,539,0.56,8,Central,0
64,Male,45229.27,334,0.52,23,West,0
34,Male,86816.1,604,0.29,3,North,1
53,Male,41740.01,663,0.08,1,South,0
31,Male,59787.12,703,0.61,15,West,1
30,Female,76613.83,814,0.32,17,North,1
64,Male,49463.95,495,0.44,5,South,0
62,Female,58838.72,837,0.48,17,Central,1
53,Male,54938.42,656,0.23,20,Central,1
54,Female,44645.56,414,0.49,11,South,0
54,Female,66105.36,391,0.54,11,South,0
33,Female,75257.19,832,0.39,7,West,1
31,Female,70413.38,582,0.43,18,South,1
41,Female,41870.51,813,0.16,11,Central,1
47,Male,101858.79,390,0.33,27,South,1
63,Female,53496.07,315,0.44,29,North,0
60,Female,77336.12,350,0.47,26,West,0
50,Male,69194.0,840,0.06,24,Central,1
45,Female,29136.27,638,0.47,19,West,0
64,Female,67896.53,420,0.52,11,Central,0
46,Male,79446.02,498,0.58,12,North,0
41,Female,32001.26,477,0.65,14,West,0
45,Male,54492.01,556,0.28,20,South,1
27,Female,73977.86,778,0.48,16,North,1
48,Male,57188.09,567,0.52,5,West,0
27,Male,76412.19,597,0.48,26,South,1
45,Male,64071.04,594,0.56,25,East,1
22,Female,51745.1,322,0.55,0,East,0
28,Male,18000.0,618,0.52,13,South,0
43,Female,86268.37,454,0.24,15,East,1
53,Male,50368.12,775,0.09,28,North,1
55,Male,114844.68,820,0.24,20,Central,1
38,Male,65276.82,340,0.21,28,East,1
32,Female,60234.67,477,0.24,8,South,0
34,Female,67531.35,564,0.44,21,Central,1
32,Male,21538.12,660,0.52,13,North,0
63,Female,61961.3,697,0.35,19,South,1
34,Female,48941.32,703,0.07,5,South,1
37,Female,67257.62,417,0.49,4,East,0
59,Female,37862.65,456,0.35,13,West,0
28,Female,73251.02,449,0.39,2,West,0
53,Male,66479.86,398,0.09,3,Central,0
54,Female,52600.39,505,0.59,27,North,0
40,Female,61662.22,444,0.13,2,West,0
22,Male,50074.42,528,0.52,8,East,0
48,Female,43245.34,606,0.53,26,Central,1
48,Male,65491.63,742,0.49,5,South,1
24,Male,71758.79,316,0.1,29,West,1
27,Male,71307.22,334,0.31,17,South,0
25,Female,63409.18,756,0.46,8,West,1
53,Male,60495.76,626,0.17,13,East,0
45,Female,59714.62,619,0.21,22,North,1
61,Male,76826.65,688,0.55,21,North,1
59,Male,58136.18,509,0.41,26,South,0
55,Male,80417.52,406,0.22,21,North,0
34,Male,54726.64,342,0.59,5,East,0
64,Male,50523.37,737,0.23,24,South,1
