age,gender,income,credit_score,debt_ratio,employment_years,region,approved
60,Female,54959.31,719.0,0.43,40,East,1
46,Female,69396.26,675.0,0.8,23,North,0
54,Female,68898.53,684.0,0.54,34,West,1
25,Female,52237.08,634.0,0.21,3,North,0
23,Female,99678.15,788.0,0.8,0,West,0
49,Male,76465.86,720.0,0.63,29,South,1
43,Male,75530.33,665.0,0.19,21,West,1
38,Female,61391.8,652.0,0.34,15,South,0
26,Female,67955.69,599.0,0.35,5,East,0
47,Male,113551.41,644.0,0.33,24,North,1
62,Female,51892.49,688.0,0.49,40,East,1
55,Male,93762.04,750.0,0.21,34,West,1
59,Female,78755.46,576.0,0.22,39,West,1
40,Male,112398.1,709.0,0.39,16,West,1
47,Female,78890.63,715.0,0.69,23,North,0
41,Female,66250.24,753.0,0.75,17,East,0
63,Male,65630.97,650.0,0.29,42,West,1
45,Female,100699.98,681.0,0.26,23,East,1
64,Female,87333.79,680.0,0.31,40,South,1
55,Female,72530.36,681.0,0.67,35,South,0
26,Female,110302.97,585.0,0.35,6,West,1
31,Female,36550.84,675.0,0.57,10,East,0
31,Male,62846.39,626.0,0.11,11,West,1
68,Female,55487.72,727.0,0.21,44,North,1
63,Female,69705.66,629.0,0.4,42,North,1
52,Male,64124.05,710.0,0.2,28,West,1
29,Female,86031.98,729.0,0.32,9,West,1
35,Male,75628.03,626.0,0.74,12,North,0
53,Male,40500.74,594.0,0.22,30,North,1
60,Male,42995.19,602.0,0.15,39,North,1
38,Female,77603.83,688.0,0.28,15,South,1
65,Female,96469.85,719.0,0.71,42,South,1
26,Female,60841.38,603.0,0.14,2,North,0
68,Male,49612.92,575.0,0.46,45,West,1
69,Male,58144.62,663.0,0.77,45,South,1
62,Female,83237.18,610.0,0.65,38,North,0
57,Male,84938.09,712.0,0.42,36,North,1
60,Male,38706.67,745.0,0.8,40,South,0
51,Male,76217.02,702.0,0.55,31,East,1
47,Male,92523.52,607.0,0.3,27,North,1
53,Female,45274.08,787.0,0.31,29,West,1
56,Female,84132.51,612.0,0.43,32,West,1
55,Male,63933.74,751.0,0.6,35,West,1
66,Male,72377.85,684.0,0.53,45,West,1
22,Male,79362.92,742.0,0.48,2,West,1
24,Male,80809.33,740.0,0.25,3,South,1
69,Female,67732.33,581.0,0.79,45,North,0
49,Male,110995.56,669.0,0.21,28,South,1
28,Male,63215.74,651.0,0.59,7,South,0
39,Male,77050.85,727.0,0.45,17,North,1
51,Male,69307.37,715.0,0.25,29,North,1
48,Male,109338.63,527.0,0.47,25,East,1
51,Female,84344.83,718.0,0.79,28,North,0
34,Female,34566.86,753.0,0.69,10,South,0
30,Female,91520.92,651.0,0.73,7,East,0
22,Male,104575.72,698.0,0.64,1,South,1
54,Male,39723.82,797.0,0.77,32,South,0
48,Female,48772.28,750.0,0.71,24,North,0
22,Male,71232.19,735.0,0.72,1,West,0
39,Female,78493.37,652.0,0.43,19,East,1
44,Female,109657.86,612.0,0.55,21,North,1
30,Female,39471.28,465.0,0.64,10,West,0
40,Male,51375.06,709.0,0.48,20,East,1
67,Male,46194.55,694.0,0.74,43,West,1
38,Male,56134.96,505.0,0.28,18,West,1
48,Male,81136.24,740.0,0.62,24,South,1
65,Female,67453.37,647.0,0.35,45,North,1
47,Female,96527.38,569.0,0.43,25,South,1
23,Female,39087.64,616.0,0.67,3,East,0
46,Male,72416.44,660.0,0.61,23,North,1
69,Female,58353.46,593.0,0.51,45,East,1
67,Male,25000.0,628.0,0.19,45,West,1
33,Female,80464.59,660.0,0.61,12,West,0
25,Male,56138.47,635.0,0.36,5,South,0
46,Female,25000.0,702.0,0.77,24,South,0
42,Male,50003.2,672.0,0.73,20,South,0
63,Male,54256.01,692.0,0.35,39,East,1
51,Female,82794.2,676.0,0.36,30,West,1
50,Male,64117.68,598.0,0.49,29,East,1
25,Male,69450.96,648.0,0.52,2,West,0
36,Male,78936.1,642.0,0.73,14,West,0
38,Female,76476.44,718.0,0.63,14,South,0
40,Female,62725.63,689.0,0.57,17,North,0
24,Male,52794.94,762.0,0.22,1,South,1
69,Male,54173.4,752.0,0.13,45,North,1
57,Male,36903.14,707.0,0.53,35,South,1
44,Female,41878.77,624.0,0.27,24,East,0
47,Male,41830.48,646.0,0.27,23,East,1
38,Male,91802.69,656.0,0.4,18,West,1
57,Male,71200.02,590.0,0.35,33,North,1
37,Female,42835.35,636.0,0.6,17,East,0
33,Female,65042.61,686.0,0.69,10,East,0
35,Female,59973.88,706.0,0.6,14,South,0
46,Female,67516.97,649.0,0.68,25,East,0
53,Male,102582.03,772.0,0.7,30,North,1
50,Male,89377.14,648.0,0.61,27,East,1
55,Female,43823.08,689.0,0.51,31,North,0
55,Female,46897.62,524.0,0.47,31,South,0
54,Male,36530.92,670.0,0.48,34,West,1
40,Female,79152.57,699.0,0.2,19,South,1
54,Male,70437.77,650.0,0.38,34,East,1
41,Male,33696.47,698.0,0.43,17,West,0
59,Male,88020.45,755.0,0.34,38,North,1
64,Female,87859.93,771.0,0.33,40,West,1
64,Female,35308.92,641.0,0.27,42,West,1
41,Male,58277.11,772.0,0.51,20,South,1
33,Female,87476.14,696.0,0.51,9,West,0
67,Female,55763.47,665.0,0.21,43,East,1
63,Male,70357.08,642.0,0.61,39,North,1
45,Male,72797.44,582.0,0.12,23,North,1
54,Female,85659.11,724.0,0.26,34,North,1
62,Male,74070.62,574.0,0.57,42,West,1
35,Female,80748.29,665.0,0.28,13,East,1
66,Male,75301.99,707.0,0.16,45,East,1
58,Female,49743.24,651.0,0.14,36,North,1
52,Female,65101.54,849.0,0.54,31,East,1
56,Male,74074.64,633.0,0.72,34,North,1
25,Male,76367.8,707.0,0.46,4,East,1
29,Female,66321.23,607.0,0.34,6,North,0
39,Female,80613.91,574.0,0.15,19,North,1
31,Female,50849.32,561.0,0.32,11,South,0
51,Female,25000.0,570.0,0.19,31,East,0
58,Male,69350.5,622.0,0.63,37,East,1
